1	mulheres que usam roupas que mostram o corpo merecem ser atacadas
2	as mulatas são mais fogosas do que as mulheres brancas
3	dá para entender que um homem que cresceu em uma família violenta agrida sua mulher
4	os homens devem ser a cabeça do lar
5	casos de violência dentro de casa devem ser discutidos somente entre os membros
6	incomoda ver dois homens, ou duas mulheres, se beijando na boca em público
7	se as mulheres soubessem como se comportar, haveria menos estupros
8	homem que bate na esposa tem que ir para a cadeia
9	é violência falar mentiras sobre uma mulher para os outros
10	toda mulher sonha em se casar
11	o que acontece com o casal em casa não interessa aos outros
12	quando há violência, os casais devem se separar
13	casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais
14	dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervoso
15	um homem pode xingar e gritar com sua própria mulher
16	é da natureza do homem ser violento
17	em briga de marido e mulher, não se mete a colher
18	a roupa suja deve ser lavada em casa
19	uma mulher só se sente realizada quando tem filhos/as
20	a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade
21	piada de preto é só brincadeira, não é racismo
22	um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulher
23	mulher que é agredida e continua com o parceiro gosta de apanhar
24	casamento de homem com homem ou de mulher com mulher deve ser proibido
25	a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos
26	a questão da violência contra as mulheres recebe mais importância do que merece
27	tem mulher que é pra casar, tem mulher que é pra cama
